Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,135.89,-48.935,-90.0,top
C2,100nF,C_0603_1608Metric,127.0,-48.935,90.0,top
C3,100nF,C_0603_1608Metric,151.13,-51.475,0.0,top
C4,100nF,C_0603_1608Metric,139.7,-73.66,-90.0,top
C5,3n3,C_0603_1608Metric,161.29,-48.935,0.0,top
C6,3n3,C_0603_1608Metric,166.37,-48.935,0.0,top
C7,10µF,C_0805_2012Metric,161.29,-46.395,0.0,top
C8,10µF,C_0805_2012Metric,166.37,-46.395,180.0,top
J3,MICRO SD,TF-SMD_TF-PUSH,148.59,-42.435,180.0,top
R1,470R,R_0603_1608Metric,179.705,-51.475,90.0,top
R10,10k,R_0603_1608Metric,147.32,-51.475,0.0,top
R11,1K,R_0603_1608Metric,161.29,-51.475,0.0,top
R12,1K,R_0603_1608Metric,166.37,-51.475,180.0,top
R2,1K,R_0603_1608Metric,181.61,-51.475,90.0,top
R3,470R,R_0603_1608Metric,183.515,-51.475,90.0,top
R4,1K,R_0603_1608Metric,185.42,-51.475,90.0,top
R5,470R,R_0603_1608Metric,187.27,-51.435,90.0,top
R6,1K,R_0603_1608Metric,189.405,-51.435,90.0,top
R7,100R,R_0603_1608Metric,193.675,-51.435,90.0,top
R8,100R,R_0603_1608Metric,191.54,-51.435,90.0,top
R9,10k,R_0603_1608Metric,131.445,-52.11,0.0,top
SW1,Reset,SW-SMD_TS-1187A,132.08,-73.66,180.0,top
U1,TXS0102DCUR,VSON8_L2.0-W2.3-P0.50-LS3.1-BL,131.445,-48.935,-90.0,top
